Dstar_OWNPV_X Dstar_OWNPV_Y Dstar_OWNPV_Z Dstar_ENDVERTEX_X Dstar_ENDVERTEX_Y Dstar_ENDVERTEX_Z D_ENDVERTEX_X D_ENDVERTEX_Y D_ENDVERTEX_Z K_PX K_PY K_PZ Pd_PX Pd_PY Pd_PZ Ps_PX Ps_PY Ps_PZ
0.4495 -0.1127 -81.9648 -1.42079975275 0.552597858018 -43.3793008741 -0.8293 0.5058 -57.9107 -211.62 675.05 22190.09 -1514.09 -512.09 20865.48 -102.573625676 18.1048935376 1778.34226072
0.4298 -0.0371 78.1103 1.20480546166 -0.927534215392 64.4926526175 0.0365 -0.3218 94.3844 -847.54 -372.79 9097.08 -342.99 994.28 21423.47 -75.1333100639 77.0268591675 3384.41992453
0.4489 -0.0291 91.2024 3.98635483056 -0.986667038727 161.311071145 1.358 0.1464 105.1069 1889.33 -673.85 28381.44 -375.59 21.05 3992.46 85.2581666579 -27.6086287976 1859.98230858
0.5143 -0.0381 -34.4844 1.12059092733 1.05048153449 -4.77842922335 0.6607 0.6211 -17.9194 965.73 1409.66 27591.24 97.3 -413.0 2829.61 60.4036352801 82.3130378614 3315.85852677
0.4201 -0.0005 -5.9087 0.155286993867 0.305783589311 13.6947745472 0.324 0.1864 -6.3344 -513.61 -473.34 29301.44 189.89 720.33 9109.89 -116.268674603 20.9238978883 3762.25569013
0.4415 -0.048 -38.702 0.296175486699 0.207176781907 -3.00867958327 0.324 0.1864 -6.3344 -513.61 -473.34 29301.44 189.89 720.33 9109.89 -107.471420893 -2.84860197138 3782.7025355
0.4415 -0.048 -38.702 0.281000320863 0.219053776006 -1.21986124664 0.324 0.1864 -6.3344 -513.61 -473.34 29301.44 189.89 720.33 9109.89 -62.4846677361 -1.7030252136 2183.92563939
0.4662 -0.0422 3.8875 -5.13572149113 -3.68290149646 33.5495701288 -5.2792 -3.7647 34.3381 -3282.46 -2702.69 22104.16 -6655.61 -3045.37 32582.69 -826.633794912 -521.57639779 4735.15218665
0.4277 -0.0364 62.2597 3.81236402506 -1.08870209674 101.522281563 1.2225 -0.1536 70.8151 5157.77 -1696.18 54007.42 182.88 -240.82 9541.96 511.407498497 -176.437205555 6254.14570769
0.3953 -0.0583 -13.2179 -0.592877916532 -0.0212019019473 22.7612633714 -0.3239 -0.0856 13.7216 -1458.61 -370.88 40298.31 -52.87 731.31 10344.54 -83.2233871639 12.3544406322 2856.20107647
0.3953 -0.0583 -13.2179 0.287393641123 -0.230604621876 -6.74886118917 -0.3239 -0.0856 13.7216 -1458.61 -370.88 40298.31 -52.87 731.31 10344.54 -98.1094625361 -62.9178857166 4430.34718814
0.4974 0.0032 -29.7942 1.76040452172 0.246850730146 -0.726034829742 1.9953 0.3192 4.5279 4024.47 1250.82 71972.09 3151.64 937.63 88235.91 661.608311369 221.23379414 14132.822756
0.4524 0.0299 -16.111 0.352635365987 -0.0746363941155 -16.2172117867 0.7276 -0.1106 -7.5778 486.08 -628.42 5903.32 636.33 526.36 19962.99 106.771303737 -8.82918716822 1689.1758757
0.4569 -0.0197 -27.0232 1.74993699313 0.801503980525 -62.9194986616 0.1927 -0.0832 -18.136 -1721.82 -273.42 24472.48 168.15 -610.79 19954.59 -76.6751719713 -73.1714368164 2505.54934953
0.4969 -0.0628 63.4636 -0.608515147716 -0.347543752168 70.4151858353 -1.1308 -0.4388 73.6651 -4301.76 -1378.63 23582.27 -2877.54 110.55 20997.0 -665.722991375 -140.957967512 4238.52280755
0.4918 -0.0154 13.9479 0.639274434617 -0.208970078439 48.3988674133 0.3905 -0.0743 28.0045 -466.38 -191.15 7480.73 919.83 -53.63 29692.25 -37.8362248883 -22.5162743979 3042.43142897
0.4326 -0.036 24.7341 0.0470710884961 0.465876758515 44.8336467605 0.0956 0.4161 42.9035 3.81 1081.85 31441.37 -1054.01 90.12 12493.87 -11.6075165338 37.8138116241 2639.19359678
0.4287 -0.0101 -4.2724 0.780577448623 0.358171163884 49.3055799065 0.391 0.3306 28.7383 1640.43 191.54 47800.99 -458.64 -107.59 14624.46 119.710844125 44.7479447363 5746.30899692
0.4692 -0.0829 15.8398 -0.69002945731 1.54454366251 51.9388292642 0.0375 0.3804 24.1703 129.36 1397.16 25092.43 -1371.65 577.06 22180.35 -129.581251534 210.620718265 4744.24947577
0.4546 -0.0112 30.851 1.06750220867 0.393088170333 44.2970930878 1.2898 0.5021 49.7354 27.95 761.71 13581.95 1961.85 210.99 35056.41 111.544140597 92.6790611689 3681.92505963
0.493 -0.0351 23.227 0.736787017174 0.592266770604 30.3871160908 0.9481 1.059 34.3236 1639.89 2610.72 18060.33 -284.39 305.39 6215.91 82.7402616159 276.867261037 2086.09124656
0.4599 -0.0558 30.5795 0.462944709093 0.265081134724 36.9849139841 0.0652 0.2843 51.4088 -302.26 -617.27 31799.46 -1296.63 690.15 26312.6 -114.870939344 -36.020077537 4202.37599833
0.4621 -0.0459 35.6886 -0.141098763731 -1.37657133177 122.308559805 0.0614 -0.7058 76.054 -572.01 -1305.01 65731.8 260.56 276.75 5277.08 -56.4444654682 -110.487070176 6705.36225791
0.4319 -0.016 45.3789 0.935579294447 0.289608669867 48.3963496942 1.7575 0.9642 53.8006 1812.24 398.06 7980.2 975.35 1891.18 10351.0 235.037943049 234.617149442 2120.40114625
0.4724 -0.0151 31.7195 -0.387331616897 -0.555209212551 48.1454503203 -0.5978 -0.5687 51.8557 -1868.5 -649.67 45438.15 -2226.81 323.44 26650.77 -271.017626067 -29.9391838724 5491.705148
0.4661 -0.0406 -17.2197 0.293429625228 -0.706361522047 -24.2169280988 0.8741 0.6599 -7.1567 1566.67 1587.19 21851.87 -388.82 1198.13 12868.16 51.5839838644 245.308683831 3373.53956666
0.4862 -0.0272 -27.9965 2.09720836382 0.665875068311 9.842971404 2.9874 0.9044 39.2825 2713.65 359.81 64362.38 173.81 452.13 33214.23 133.22345994 80.5259145227 5149.37754294
0.4954 -0.0271 -46.8625 1.34008786941 -2.78001479166 -26.0038035369 0.8182 -1.4875 -35.4742 2286.53 -4202.73 27801.55 366.12 -2355.84 20258.46 175.040425254 -444.426420739 3020.34370569
0.4618 -0.0169 -20.082 0.471647103602 -0.0453663153549 9.58775967882 0.5419 -0.0165 3.1008 428.34 -221.2 17256.79 -1430.39 -131.5 64780.42 -92.684740138 -63.8106639122 7961.48481984
0.4704 -0.0242 -19.7124 0.514956500105 -0.0886893581337 -20.3627307347 -0.0707 0.6594 -15.1586 -4592.07 5132.97 41348.34 -2180.35 3498.97 18623.85 -500.702966934 581.616692351 4243.95760419
0.5242 0.0053 68.2336 0.75696671998 0.222287050504 87.5037672159 0.7859 0.4852 97.1459 -522.68 214.66 9244.86 674.91 1234.49 43424.73 44.7899307812 113.799851689 3568.26484239
0.5067 -0.0266 13.805 0.826439897011 0.133580589659 27.5398607289 0.8411 0.1383 28.4339 -76.34 707.51 29098.45 790.27 -482.33 13841.54 41.7249279284 -76.4485698136 3215.33065588
0.5067 -0.0266 13.805 1.16787211805 0.245340101327 48.5310009915 0.8411 0.1383 28.4339 -76.34 707.51 29098.45 790.27 -482.33 13841.54 53.2730460016 30.1884330619 3277.72810512
0.5067 -0.0266 13.805 -0.0640822078008 -0.141766190498 -25.9781866977 0.8411 0.1383 28.4339 -76.34 707.51 29098.45 790.27 -482.33 13841.54 55.0362043022 -69.867531331 4651.19971048
0.5083 -0.0057 40.1759 0.495464671859 -4.68381755262 -106.898445676 0.1636 -0.0031 46.2457 -540.84 -52.96 4061.02 488.21 798.33 20341.52 6.91811581208 75.8658256614 2261.657348
0.526 -0.0366 25.1387 0.540338294087 0.415636473059 28.5363113319 -0.0765 2.0232 42.6136 -623.24 3152.93 21390.57 -649.39 160.75 7609.86 -98.2600555278 325.811592293 2782.38629637
0.42 -0.002 -25.8929 0.0302415506263 0.235632401884 -34.5664749641 0.8271 0.3318 -13.7163 938.3 -688.74 25942.61 494.51 861.61 11549.15 94.0733802377 61.770209429 2239.06351238
0.4527 -0.0701 -51.8635 0.478029586489 -0.129545980955 -51.3940645973 1.1547 -0.1172 -39.9311 1214.82 486.67 32811.43 2021.8 -427.12 21842.77 255.87140506 44.7560168786 4380.56532318
0.5228 -0.0039 -2.1488 0.796225662943 0.603312227464 -16.0294570887 0.3795 -0.3405 6.1034 -385.42 -2408.9 57686.95 -962.01 -643.87 14032.92 -58.5884243141 -205.194602475 4527.3035905
0.4834 -0.0785 3.816 0.356921266542 -0.179846790033 2.30264403281 1.3466 0.3224 14.6024 4323.04 2230.74 44356.54 2256.87 1115.29 37399.13 360.864483522 192.759498881 4588.85851206
0.44 -0.0914 -20.6856 0.0606815856721 0.0732046253447 -33.5570172905 0.5645 0.0547 -17.9624 1950.3 -331.64 40033.84 -339.84 273.79 9772.09 56.4215319084 -51.3505652731 3934.55043357
0.5222 -0.0018 14.5129 -0.0869168209756 -0.240355221705 30.5500541993 0.2052 -0.0407 23.0631 -1275.3 -1733.35 37047.14 -697.72 401.21 13449.4 -165.624112078 -95.7919944356 3315.40377536
